,Unnamed: 0,name,nba_career_length,Games,Points,Rebounds,Assists,FGP,FTP,EFGP,best_year,TFGP,WS,url,allstar
1595,1595,Lionel Simmons,7.0,131.0,24.6,10.9,2.7,50.1,72.2,51.2,2.0,41.5,,simmoli01.html,False
1596,1596,Dickey Simpkins,7.0,125.0,9.8,6.3,1.2,48.6,64.6,49.1,6.0,34.6,,simpkdi01.html,False
1597,1597,Ralph Simpson,10.0,23.0,29.0,10.4,,44.9,82.2,,1.0,,,simpsra01.html,True
1598,1598,Henry Sims,4.0,121.0,4.9,3.2,1.4,47.9,65.4,48.1,3.0,11.8,5.8,simshe01.html,False
1599,1599,Kyle Singler,6.0,148.0,16.2,6.9,2.0,43.3,77.3,50.4,2.0,36.3,25.7,singlky01.html,False
1600,1600,Chris Singleton,3.0,95.0,10.3,6.2,1.5,41.9,59.2,48.4,1.0,33.0,10.0,singlch01.html,False
1601,1601,James Singleton,5.0,60.0,13.5,10.5,1.5,56.7,79.4,58.4,4.0,42.9,11.6,singlja01.html,False
1602,1602,Charlie Sitton,1.0,117.0,13.3,4.3,2.2,57.5,76.9,,1.0,,,sittoch01.html,False
1603,1603,Peyton Siva,1.0,144.0,8.4,2.4,4.7,41.7,73.7,46.7,1.0,29.1,12.9,sivape01.html,False
1604,1604,Scott Skiles,10.0,118.0,18.2,3.0,5.5,51.6,85.0,,5.0,,,skilesc01.html,False
1605,1605,Al Skinner,6.0,79.0,15.6,9.5,4.1,55.7,75.1,,1.0,,,skinnal01.html,False
1606,1606,Brian Skinner,14.0,103.0,16.5,8.9,0.6,57.5,55.8,57.5,7.0,,,skinnbr01.html,False
1607,1607,Reggie Slater,8.0,121.0,15.0,9.9,1.1,58.5,71.7,58.5,4.0,0.0,,slatere01.html,False
1608,1608,Jose Slaughter,1.0,110.0,17.6,5.3,2.4,49.6,67.5,,1.0,,,slaugjo01.html,False
1609,1609,Tamar Slay,3.0,114.0,15.7,4.4,2.2,44.3,74.9,53.1,1.0,38.6,12.2,slayta01.html,False
1610,1610,Donald Sloan,5.0,138.0,11.0,3.3,2.7,42.8,73.2,47.5,5.0,33.6,11.0,sloando01.html,False
1611,1611,Bingo Smith,11.0,77.0,17.8,9.5,,47.3,74.4,,1.0,,,smithbi02.html,False
1612,1612,Charles Smith,5.0,122.0,16.8,8.1,1.4,50.0,75.3,,1.0,,,smithch04.html,False
1613,1613,Chris Smith,1.0,127.0,16.9,2.9,3.4,42.1,76.1,49.0,2.0,40.0,,smithch05.html,False
1614,1614,Clinton Smith,2.0,84.0,11.8,4.2,1.5,54.2,60.8,,1.0,,,smithcl01.html,False
1615,1615,Craig Smith,6.0,130.0,18.1,8.6,1.9,55.8,64.3,56.3,5.0,23.9,23.4,smithcr01.html,False
1616,1616,Derek Smith,9.0,131.0,13.9,6.7,1.9,57.7,67.0,,3.0,,,smithde02.html,False
1617,1617,Don Smith,1.0,73.0,8.6,,,37.4,64.2,,1.0,,,smithdo02.html,False
1618,1618,Doug Smith,5.0,128.0,17.1,8.2,2.5,51.0,74.7,51.1,3.0,17.4,,smithdo03.html,False
1619,1619,Greg Smith,5.0,49.0,2.5,1.7,0.2,39.1,68.8,41.4,5.0,66.7,0.9,smithgr02.html,False
1620,1620,Jabari Smith,4.0,61.0,12.6,8.2,2.1,53.2,63.9,55.7,4.0,29.8,8.7,smithja01.html,False
